"dt_utc","ticker","source","title","url","time","diff"
"2025-12-05T11:08:00+00:00","NVDA","(Associated Press Finance)","Asian shares are mixed after Wall Street pulls near its all-time high","https://finance.yahoo.com/news/asian-shares-mixed-wall-street-043934512.html","1764932880126","1"
"2025-12-04T16:00:00+00:00","NVDA","(Yahoo Finance)","Stock market today: Dow, S&P 500, Nasdaq end little changed as Wall Street's Fed rate cut conviction runs high","https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-end-little-changed-as-wall-streets-fed-rate-cut-conviction-runs-high-210046639.html","1764932880126","1"
"2025-12-04T04:42:00+00:00","NVDA","(Zacks)","Zacks Investment Ideas feature highlights: Alphabet, Meta Platforms, Nvidia, Microsoft, Cisco and MongoDB","/news/245117/zacks-investment-ideas-feature-highlights-alphabet-meta-platforms-nvidia-microsoft-cisco-and-mongodb","1764932880126","1"
"2025-12-04T13:39:00+00:00","NVDA","(Motley Fool)","Prediction: This Will Be the World's Largest Company By Year-End 2026 (Hint: It's Not Nvidia)","/news/246093/prediction-this-will-be-the-worlds-largest-company-by-year-end-2026-hint-its-not-nvidia","1764932880126","1"
"2025-12-04T13:28:00+00:00","NVDA","(24/7 Wall St.)","Have $75,000 to Invest? Nvidia or Alphabet","https://finance.yahoo.com/m/8c47aeb4-dcd8-3559-a792-ae7b40b366d9/have-%2475%2C000-to-invest%3F.html","1764932880126","1"
"2025-12-04T13:48:00+00:00","NVDA","(GuruFocus.com)","Nvidia Just Beat Washington--And It Could Change the Global AI Race","https://finance.yahoo.com/news/nvidia-just-beat-washington-could-184851283.html","1764932880126","1"
"2025-12-04T08:20:00+00:00","NVDA","(Motley Fool)","Could This AI Chipmaker Be the Market's Next Trillion-Dollar Contender?","/news/245405/could-this-ai-chipmaker-be-the-markets-next-trillion-dollar-contender","1764932880126","1"
"2025-12-04T17:05:00+00:00","NVDA","(Motley Fool)","I Think These Are the 3 Best AI Stocks to Buy in December","/news/246313/i-think-these-are-the-3-best-ai-stocks-to-buy-in-december","1764932880126","1"
"2025-12-04T07:20:00+00:00","NVDA","(Motley Fool)","Why This AI Winner Might Be Just Getting Started","/news/245311/why-this-ai-winner-might-be-just-getting-started","1764932880126","1"
"2025-12-04T03:26:00+00:00","NVDA","(Motley Fool)","Prediction: The Artificial Intelligence (AI) Bubble Will Burst in 2026. Here's Why.","/news/245081/prediction-the-artificial-intelligence-ai-bubble-will-burst-in-2026-heres-why","1764932880126","1"
